"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-01","13.42","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-02","10.07","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-03","10.07","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-04","14.32","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-05","10.07","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-06","10.51","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-07","9.62","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-08","8.95","0.21","0.0","0.0",,"    1",,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-09","9.40","0.37","0.0","0.0",,"    1","    1",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-10","14.09","0.06","0.0","0.0",,"    1",,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-11","7.61","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-12","8.72","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-13","7.16","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-14","6.26","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-15","8.95","1.45","0.0","0.0",,"    1",,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-16","8.72","0.00","0.0","0.0",,"    1",,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-17","12.30","0.13","0.0","0.0",,"    1",,,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-18","12.30","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-19","9.40","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-20","4.92","0.06","0.0","0.0",,,,,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-21","7.16","0.70","0.0","0.0",,"    1",,,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-22","13.87","1.94","0.2","0.0",,"    1",,,"    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-23","21.70","0.00","0.1","0.0",,"    1",,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-24","5.82","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-25","4.92","0.00","0.0","0.0",,,,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-26","4.92","0.11","0.0","0.0",,"    1",,,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-27","8.50","0.11","0.0","0.0",,"    1",,,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2016-01-28","6.26","0.00","0.0","0.0",,,,,,,,
