"Date","Accidents","Rain"
2016-06-17,1,0
2016-06-21,35,0
2016-06-22,35,0
2016-06-23,60,0
2016-06-24,35,0
2016-06-25,19,0
2016-06-26,21,0.14
2016-06-27,39,0
2016-06-28,41,0.25625
2016-06-29,42,0
2016-06-30,46,0
2016-07-01,23,0
2016-07-02,5,0
2016-07-03,6,0.205
2016-07-04,25,0
2016-07-05,34,0.123333333333333
2016-07-06,21,0.226666666666667
2016-07-07,24,0
2016-07-08,29,0
2016-07-09,11,0
2016-07-10,16,0
2016-07-11,27,0.138
2016-07-12,43,0
2016-07-13,46,0
2016-07-14,12,0
2016-07-15,33,0
2016-07-16,10,0.223333333333333
2016-07-18,19,0
2016-07-19,39,0.0266666666666667
2016-07-20,33,0
2016-07-21,29,0.01
2016-07-22,18,0
2016-07-23,10,0
2016-07-24,11,0
2016-07-25,30,0.01
2016-07-26,29,0
2016-07-27,33,0
2016-07-28,42,0.0366666666666667
2016-07-29,34,0
2016-07-30,16,0
2016-07-31,14,0.0416666666666667
2016-08-01,24,0.01
2016-08-02,37,0.0107692307692308
2016-08-03,23,0
2016-08-04,25,0.084
2016-08-05,27,0
2016-08-06,13,0
2016-08-07,14,0.15
2016-08-08,32,0
2016-08-09,41,0.00473684210526316
2016-08-10,25,0.01
2016-08-11,28,0
2016-08-12,49,0
2016-08-13,10,0
2016-08-14,16,0
2016-08-15,23,0
2016-08-16,18,0
2016-08-17,27,0
2016-08-18,34,0.04
2016-08-19,34,0.288333333333333
2016-08-20,16,0.004
2016-08-21,16,0.0477777777777778
2016-08-22,40,0
2016-08-23,42,0
2016-08-24,61,0.173333333333333
2016-08-25,53,0
2016-08-26,53,0.008
2016-08-27,16,0
2016-08-28,12,0
2016-08-29,51,0
2016-08-30,43,0
2016-08-31,34,0
2016-09-01,41,0.455
2016-09-02,39,0.159285714285714
2016-09-03,18,0
2016-09-04,9,0
2016-09-05,31,0
2016-09-06,50,0
2016-09-07,53,0
2016-09-08,44,0
2016-09-09,50,0
2016-09-10,14,0
2016-09-11,9,0
2016-09-12,28,0
2016-09-13,30,0
2016-09-14,25,0
2016-09-15,54,0
2016-09-16,38,0
2016-09-17,8,0
2016-09-18,18,0.0208333333333333
2016-09-19,33,0
2016-09-20,38,0
2016-09-21,41,0
2016-09-22,28,0
2016-09-23,40,0
2016-09-24,7,0
2016-09-25,21,0
