"Date","Accidents","Rain"
2016-01-01,0,0
2016-01-02,0,0
2016-01-03,0,0
2016-01-04,0,0
2016-01-05,0,0
2016-01-06,0,0
2016-01-07,0,0
2016-01-08,0,0
2016-01-09,0,0
2016-01-10,0,0
2016-01-11,0,0
2016-01-12,0,0
2016-01-13,0,0
2016-01-14,7,0
2016-01-15,0,0
2016-01-16,0,0
2016-01-17,0,0
2016-01-18,0,0
2016-01-19,0,0
2016-01-20,0,0
2016-01-21,0,0
2016-01-22,0,0
2016-01-23,0,0
2016-01-24,0,0
2016-01-25,0,0
2016-01-26,0,0
2016-01-27,0,0
2016-01-28,0,0
2016-01-29,0,0
2016-01-30,0,0
2016-01-31,0,0
2016-02-01,0,0
2016-02-02,0,0
2016-02-03,0,0
2016-02-04,0,0
2016-02-05,0,0
2016-02-06,0,0
2016-02-07,0,0
2016-02-08,60,0.019375
2016-02-09,59,0.00384615384615385
2016-02-10,49,0.00258064516129032
2016-02-11,93,0
2016-02-12,18,0
2016-02-13,14,0.00333333333333333
2016-02-14,13,0.01
2016-02-15,62,0.00176470588235294
2016-02-16,84,0.0209090909090909
2016-02-17,51,0
2016-02-18,73,0
2016-02-19,72,0
2016-02-20,4,0
2016-02-21,7,0.085
2016-02-22,55,0
2016-02-23,58,0
2016-02-24,86,0.0736065573770492
2016-02-25,51,0.00206896551724138
2016-02-26,27,0
2016-02-27,6,0
2016-02-28,7,0
2016-02-29,36,0
2016-03-01,55,0.0503846153846154
2016-03-02,40,0
2016-03-03,64,0.00363636363636364
2016-03-04,58,0.00333333333333333
2016-03-05,7,0.1
2016-03-06,4,0
2016-03-07,41,0
2016-03-08,51,0
2016-03-09,42,0.0114285714285714
2016-03-10,72,0.0273170731707317
2016-03-11,61,0
2016-03-12,10,0
2016-03-13,9,0.04375
2016-03-14,45,0.0728571428571429
2016-03-15,46,0.002
2016-03-16,44,0
2016-03-17,53,0
2016-03-18,53,0
2016-03-19,11,0.0275
2016-03-20,7,0
2016-03-21,49,0
2016-03-22,82,0
2016-03-23,704,0.0105555555555556
2016-03-24,823,0.0469047619047619
2016-03-25,504,0
2016-03-26,251,0.024
2016-03-27,263,0
2016-03-28,652,0.0404587155963303
2016-03-29,723,0.015
2016-03-30,828,0.00433333333333333
2016-03-31,678,0.0356716417910448
2016-04-01,878,0.0121052631578947
2016-04-02,260,0.0127272727272727
2016-04-03,278,0.00571428571428571
2016-04-04,739,0.0216949152542373
2016-04-05,889,0
2016-04-06,831,0.00260869565217391
2016-04-07,976,0.0186689419795222
2016-04-08,606,0.00987421383647799
2016-04-09,364,0.00864516129032259
2016-04-10,305,0.019375
2016-04-11,780,0.023
2016-04-12,791,0.0296610169491526
2016-04-13,766,0
2016-04-14,820,5e-04
2016-04-15,28,0
2016-04-16,0,0
2016-04-17,213,0
2016-04-18,881,0.0295833333333333
2016-04-19,786,0
2016-04-20,834,0.142682926829268
2016-04-21,861,0.0051063829787234
2016-04-22,927,0.0217283950617284
2016-04-23,17,0
2016-04-24,159,0
2016-04-25,797,0.0130769230769231
2016-04-26,817,0.0302127659574468
2016-04-27,762,0.0319540229885057
2016-04-28,732,0.005
2016-04-29,835,0.001
2016-04-30,156,0.01
2016-05-01,56,0.02
2016-05-02,676,0.00833333333333333
2016-05-03,613,0.0411842105263157
2016-05-04,712,0.0132258064516129
2016-05-05,712,0.00636363636363636
2016-05-06,35,0.0171428571428571
2016-05-07,0,0
2016-05-08,38,0
2016-05-09,622,0.0205882352941177
2016-05-10,762,0.0315384615384615
2016-05-11,750,0.0389189189189189
2016-05-12,796,0
2016-05-13,25,0.01
2016-05-14,0,0
2016-05-15,0,0
2016-05-16,572,0.0153571428571429
2016-05-17,718,0.00489795918367347
2016-05-18,964,0.00666666666666667
2016-05-19,768,0
2016-05-20,1006,0.0333333333333333
2016-05-21,367,0.0225
2016-05-22,362,0.00833333333333333
2016-05-23,815,0.0148148148148148
2016-05-24,1018,0.0193103448275862
2016-05-25,1043,0.0017948717948718
2016-05-26,1097,0.119189189189189
2016-05-27,1048,0.00136363636363636
2016-05-28,367,0
2016-05-29,305,0
2016-05-30,501,0.0363636363636364
2016-05-31,862,0
2016-06-01,854,0.000384615384615385
2016-06-02,726,0.00428571428571429
2016-06-03,814,0.0103846153846154
2016-06-04,328,0.0273913043478261
2016-06-05,291,0.0215789473684211
2016-06-06,832,0.00375
2016-06-07,841,0.009375
2016-06-08,853,0.0397368421052632
2016-06-09,799,0
2016-06-10,727,0.0113333333333333
2016-06-11,322,0
2016-06-12,321,0.00333333333333333
2016-06-13,752,0
2016-06-14,755,0.0104761904761905
2016-06-15,1,0
2016-06-16,664,0.0103030303030303
2016-06-17,848,0.0178787878787879
2016-06-18,285,0
2016-06-19,229,0
2016-06-20,568,0.0157142857142857
2016-06-21,1688,0.103775510204082
2016-06-22,2286,0.0246666666666667
2016-06-23,2443,0.0526424870466321
2016-06-24,2258,0.0212727272727273
2016-06-25,567,0.128571428571429
2016-06-26,638,0.0794285714285714
2016-06-27,2283,0.0718571428571428
2016-06-28,2142,0.0900480769230768
2016-06-29,2198,0.0217857142857143
2016-06-30,2225,0.0369444444444444
2016-07-01,1146,0.0338372093023256
2016-07-02,426,0.0706896551724138
2016-07-03,459,0.0536842105263158
2016-07-04,1169,0.0604545454545454
2016-07-05,2214,0.0427981651376146
2016-07-06,2148,0.0555172413793103
2016-07-07,2081,0.0534065934065934
2016-07-08,2012,0.0999324324324324
2016-07-09,477,0.0144117647058824
2016-07-10,486,0.0117647058823529
2016-07-11,1949,0.03453125
2016-07-12,1843,0.0354545454545455
2016-07-13,1864,0.0658088235294117
2016-07-14,2132,0.04744
2016-07-15,1668,0.0184466019417476
2016-07-16,532,0.0832
2016-07-17,58,0.03
2016-07-18,1513,0.0486666666666666
2016-07-19,1975,0.0254761904761905
2016-07-20,1936,0.00638888888888889
2016-07-21,2019,0.0454961832061068
2016-07-22,2256,0.0435087719298245
2016-07-23,616,0.0986046511627907
2016-07-24,568,0.0976666666666667
2016-07-25,2043,0.102830188679245
2016-07-26,2223,0.118079470198675
2016-07-27,2256,0.0935294117647058
2016-07-28,2172,0.0558035714285714
2016-07-29,2216,0.0591233766233765
2016-07-30,684,0.0387301587301587
2016-07-31,639,0.103050847457627
2016-08-01,2226,0.022875
2016-08-02,2265,0.061639344262295
2016-08-03,1290,0.0156410256410256
2016-08-04,1792,0.0932231404958677
2016-08-05,2510,0.0333720930232558
2016-08-06,624,0.139666666666667
2016-08-07,560,0.0710344827586207
2016-08-08,2314,0.102663043478261
2016-08-09,2240,0.0692715231788079
2016-08-10,2383,0.0535882352941176
2016-08-11,2326,0.0487387387387387
2016-08-12,2461,0.0939067055393588
2016-08-13,697,0.0639743589743589
2016-08-14,642,0.0477631578947368
2016-08-15,2330,0.0524197530864198
2016-08-16,2235,0.0684364820846906
2016-08-17,2263,0.068600583090379
2016-08-18,2202,0.0578421052631578
2016-08-19,2170,0.0936407766990292
2016-08-20,676,0.091
2016-08-21,644,0.0580246913580247
2016-08-22,2142,0.0237606837606837
2016-08-23,2243,0.0222448979591837
2016-08-24,2318,0.0604020100502512
2016-08-25,2079,0.03784
2016-08-26,2331,0.0213953488372093
2016-08-27,703,0.0663829787234042
2016-08-28,687,0.0654838709677419
2016-08-29,2369,0.0385407725321888
2016-08-30,2355,0.068254716981132
2016-08-31,2380,0.105619469026549
2016-09-01,2636,0.0344499999999999
2016-09-02,2286,0.0857081545064377
2016-09-03,653,0.0414814814814815
2016-09-04,553,0.0841379310344827
2016-09-05,1308,0.0375824175824176
2016-09-06,2755,0.0192452830188679
2016-09-07,2601,0.0322826086956522
2016-09-08,2649,0.0499354838709677
2016-09-09,2588,0.0517605633802817
2016-09-10,726,0.0688524590163934
2016-09-11,640,0.0304761904761905
2016-09-12,2429,0.0190123456790124
2016-09-13,2509,0.0404320987654321
2016-09-14,2539,0.025891472868217
2016-09-15,2600,0.0666666666666667
2016-09-16,1916,0.0391891891891892
2016-09-17,615,0.0489285714285714
2016-09-18,497,0.0334146341463415
2016-09-19,1721,0.0838095238095239
2016-09-20,1583,0.0178021978021978
2016-09-21,1506,0.035820895522388
2016-09-22,1544,0.0120833333333333
2016-09-23,2380,0.0123463687150838
2016-09-24,624,0.0537037037037037
2016-09-25,539,0.12452380952381
2016-09-26,2270,0.0878676470588236
2016-09-27,2556,0.041090909090909
2016-09-28,2497,0.0341719745222929
2016-09-29,2425,0.0564718162839249
2016-09-30,2553,0.0357360406091371
2016-10-01,690,0.0377659574468085
2016-10-02,610,0.059090909090909
2016-10-03,2450,0.028041958041958
2016-10-04,2815,0.0108496732026144
2016-10-05,2626,0.02
2016-10-06,1769,0.0541847826086956
